id,course_id,day_of_week,start_time,end_time,location,created_by,created_date,last_modified_by,last_modified_date
36,36,TUESDAY,11:30:00,13:00:00,R036,\N,\N,\N,\N
37,37,WEDNESDAY,13:00:00,14:30:00,R037,\N,\N,\N,\N
38,38,THURSDAY,10:00:00,11:30:00,R038,\N,\N,\N,\N
39,39,FRIDAY,14:00:00,15:30:00,R039,\N,\N,\N,\N
40,40,MONDAY,14:00:00,15:30:00,R040,\N,\N,\N,\N
41,41,TUESDAY,11:00:00,12:30:00,R041,\N,\N,\N,\N
42,42,WEDNESDAY,10:00:00,11:30:00,R042,\N,\N,\N,\N
43,43,THURSDAY,13:30:00,15:00:00,R043,\N,\N,\N,\N
44,44,FRIDAY,14:00:00,15:30:00,R044,\N,\N,\N,\N
45,45,MONDAY,10:30:00,12:00:00,R045,\N,\N,\N,\N
46,46,TUESDAY,13:00:00,14:30:00,R046,\N,\N,\N,\N
47,47,WEDNESDAY,11:30:00,13:00:00,R047,\N,\N,\N,\N
48,48,THURSDAY,14:30:00,16:00:00,R048,\N,\N,\N,\N
49,49,FRIDAY,12:00:00,13:30:00,R049,\N,\N,\N,\N
50,50,MONDAY,14:30:00,16:00:00,R050,\N,\N,\N,\N
51,51,TUESDAY,15:00:00,16:30:00,R051,\N,\N,\N,\N
52,52,WEDNESDAY,11:00:00,12:30:00,R052,\N,\N,\N,\N
53,53,THURSDAY,11:00:00,12:30:00,R053,\N,\N,\N,\N
54,54,FRIDAY,10:00:00,11:30:00,R054,\N,\N,\N,\N
55,55,MONDAY,10:00:00,11:30:00,R055,\N,\N,\N,\N
56,56,TUESDAY,12:00:00,13:30:00,R056,\N,\N,\N,\N
57,57,WEDNESDAY,11:30:00,13:00:00,R057,\N,\N,\N,\N
58,58,THURSDAY,10:00:00,11:30:00,R058,\N,\N,\N,\N
59,59,FRIDAY,10:00:00,11:30:00,R059,\N,\N,\N,\N
60,60,MONDAY,13:00:00,14:30:00,R060,\N,\N,\N,\N
61,61,TUESDAY,11:30:00,13:00:00,R061,\N,\N,\N,\N
62,62,WEDNESDAY,13:30:00,15:00:00,R062,\N,\N,\N,\N
63,63,THURSDAY,14:30:00,16:00:00,R063,\N,\N,\N,\N
64,64,FRIDAY,10:00:00,11:30:00,R064,\N,\N,\N,\N
65,65,MONDAY,14:30:00,16:00:00,R065,\N,\N,\N,\N
66,66,TUESDAY,14:00:00,15:30:00,R066,\N,\N,\N,\N
67,67,WEDNESDAY,11:30:00,13:00:00,R067,\N,\N,\N,\N
68,68,THURSDAY,11:30:00,13:00:00,R068,\N,\N,\N,\N
69,69,FRIDAY,11:00:00,12:30:00,R069,\N,\N,\N,\N
70,70,MONDAY,10:00:00,11:30:00,R070,\N,\N,\N,\N
71,71,TUESDAY,14:00:00,15:30:00,R071,\N,\N,\N,\N
72,72,WEDNESDAY,10:30:00,12:00:00,R072,\N,\N,\N,\N
73,73,THURSDAY,10:00:00,11:30:00,R073,\N,\N,\N,\N
74,74,FRIDAY,13:30:00,15:00:00,R074,\N,\N,\N,\N
75,75,MONDAY,13:00:00,14:30:00,R075,\N,\N,\N,\N
76,76,TUESDAY,11:30:00,13:00:00,R076,\N,\N,\N,\N
77,77,WEDNESDAY,14:30:00,16:00:00,R077,\N,\N,\N,\N
78,78,THURSDAY,10:00:00,11:30:00,R078,\N,\N,\N,\N
79,79,FRIDAY,13:00:00,14:30:00,R079,\N,\N,\N,\N
80,80,MONDAY,10:30:00,12:00:00,R080,\N,\N,\N,\N
81,81,TUESDAY,10:00:00,11:30:00,R081,\N,\N,\N,\N
82,82,WEDNESDAY,10:00:00,11:30:00,R082,\N,\N,\N,\N
83,83,THURSDAY,13:00:00,14:30:00,R083,\N,\N,\N,\N
84,84,FRIDAY,13:30:00,15:00:00,R084,\N,\N,\N,\N
85,85,MONDAY,11:30:00,13:00:00,R085,\N,\N,\N,\N
86,86,TUESDAY,11:00:00,12:30:00,R086,\N,\N,\N,\N
87,87,WEDNESDAY,11:30:00,13:00:00,R087,\N,\N,\N,\N
88,88,THURSDAY,15:00:00,16:30:00,R088,\N,\N,\N,\N
89,89,FRIDAY,13:00:00,14:30:00,R089,\N,\N,\N,\N
90,90,MONDAY,11:30:00,13:00:00,R090,\N,\N,\N,\N
91,91,TUESDAY,14:30:00,16:00:00,R091,\N,\N,\N,\N
92,92,WEDNESDAY,13:30:00,15:00:00,R092,\N,\N,\N,\N
93,93,THURSDAY,13:30:00,15:00:00,R093,\N,\N,\N,\N
94,94,FRIDAY,11:30:00,13:00:00,R094,\N,\N,\N,\N
95,95,MONDAY,11:00:00,12:30:00,R095,\N,\N,\N,\N
96,96,TUESDAY,11:00:00,12:30:00,R096,\N,\N,\N,\N
97,97,WEDNESDAY,10:30:00,12:00:00,R097,\N,\N,\N,\N
98,98,THURSDAY,14:30:00,16:00:00,R098,\N,\N,\N,\N
99,99,FRIDAY,14:00:00,15:30:00,R099,\N,\N,\N,\N
100,100,MONDAY,11:00:00,12:30:00,R100,\N,\N,\N,\N
101,101,TUESDAY,15:30:00,17:00:00,R101,\N,\N,\N,\N
102,102,WEDNESDAY,14:30:00,16:00:00,R102,\N,\N,\N,\N
103,103,THURSDAY,15:30:00,17:00:00,R103,\N,\N,\N,\N
104,104,FRIDAY,13:30:00,15:00:00,R104,\N,\N,\N,\N
105,105,MONDAY,14:30:00,16:00:00,R105,\N,\N,\N,\N
106,106,TUESDAY,10:00:00,11:30:00,R106,\N,\N,\N,\N
107,107,WEDNESDAY,11:00:00,12:30:00,R107,\N,\N,\N,\N
108,108,THURSDAY,13:00:00,14:30:00,R108,\N,\N,\N,\N
109,109,FRIDAY,14:30:00,16:00:00,R109,\N,\N,\N,\N
110,110,MONDAY,11:30:00,13:00:00,R110,\N,\N,\N,\N
111,111,TUESDAY,10:30:00,12:00:00,R111,\N,\N,\N,\N
112,112,WEDNESDAY,10:30:00,12:00:00,R112,\N,\N,\N,\N
113,113,THURSDAY,11:30:00,13:00:00,R113,\N,\N,\N,\N
114,114,FRIDAY,10:00:00,11:30:00,R114,\N,\N,\N,\N
115,115,MONDAY,14:30:00,16:00:00,R115,\N,\N,\N,\N
116,116,TUESDAY,11:00:00,12:30:00,R116,\N,\N,\N,\N
117,117,WEDNESDAY,13:00:00,14:30:00,R117,\N,\N,\N,\N
118,118,THURSDAY,13:00:00,14:30:00,R118,\N,\N,\N,\N
119,119,FRIDAY,13:30:00,15:00:00,R119,\N,\N,\N,\N
120,120,MONDAY,13:30:00,15:00:00,R120,\N,\N,\N,\N
121,121,TUESDAY,11:00:00,12:30:00,R121,\N,\N,\N,\N
122,122,WEDNESDAY,14:30:00,16:00:00,R122,\N,\N,\N,\N
123,123,THURSDAY,09:00:00,10:30:00,R123,\N,\N,\N,\N
124,124,FRIDAY,10:30:00,12:00:00,R124,\N,\N,\N,\N
125,125,MONDAY,14:00:00,15:30:00,R125,\N,\N,\N,\N
126,126,TUESDAY,11:30:00,13:00:00,R126,\N,\N,\N,\N
127,127,WEDNESDAY,13:30:00,15:00:00,R127,\N,\N,\N,\N
128,128,THURSDAY,10:30:00,12:00:00,R128,\N,\N,\N,\N
129,129,FRIDAY,12:00:00,13:30:00,R129,\N,\N,\N,\N
130,130,MONDAY,14:30:00,16:00:00,R130,\N,\N,\N,\N
131,131,TUESDAY,10:00:00,11:30:00,R131,\N,\N,\N,\N
132,132,WEDNESDAY,13:30:00,15:00:00,R132,\N,\N,\N,\N
133,133,THURSDAY,09:00:00,10:30:00,R133,\N,\N,\N,\N
134,134,FRIDAY,11:00:00,12:30:00,R134,\N,\N,\N,\N
135,135,MONDAY,13:00:00,14:30:00,R135,\N,\N,\N,\N
136,136,TUESDAY,10:30:00,12:00:00,R136,\N,\N,\N,\N
137,137,WEDNESDAY,13:00:00,14:30:00,R137,\N,\N,\N,\N
138,138,THURSDAY,10:00:00,11:30:00,R138,\N,\N,\N,\N
139,139,FRIDAY,12:30:00,14:00:00,R139,\N,\N,\N,\N
140,140,MONDAY,13:00:00,14:30:00,R140,\N,\N,\N,\N
141,141,TUESDAY,11:00:00,12:30:00,R141,\N,\N,\N,\N
142,142,WEDNESDAY,11:30:00,13:00:00,R142,\N,\N,\N,\N
143,143,THURSDAY,14:30:00,16:00:00,R143,\N,\N,\N,\N
144,144,FRIDAY,10:00:00,11:30:00,R144,\N,\N,\N,\N
145,145,MONDAY,14:00:00,15:30:00,R145,\N,\N,\N,\N
146,146,TUESDAY,13:30:00,15:00:00,R146,\N,\N,\N,\N
147,147,WEDNESDAY,09:00:00,10:30:00,R147,\N,\N,\N,\N
148,148,THURSDAY,13:00:00,14:30:00,R148,\N,\N,\N,\N
149,149,FRIDAY,14:30:00,16:00:00,R149,\N,\N,\N,\N
150,150,MONDAY,09:30:00,11:00:00,R150,\N,\N,\N,\N
151,151,TUESDAY,10:30:00,12:00:00,R151,\N,\N,\N,\N
152,152,WEDNESDAY,14:30:00,16:00:00,R152,\N,\N,\N,\N
153,153,THURSDAY,12:30:00,14:00:00,R153,\N,\N,\N,\N
154,154,FRIDAY,10:30:00,12:00:00,R154,\N,\N,\N,\N
155,155,MONDAY,10:30:00,12:00:00,R155,\N,\N,\N,\N
156,156,TUESDAY,10:30:00,12:00:00,R156,\N,\N,\N,\N
157,157,WEDNESDAY,15:00:00,16:30:00,R157,\N,\N,\N,\N
158,158,THURSDAY,11:30:00,13:00:00,R158,\N,\N,\N,\N
159,159,FRIDAY,11:30:00,13:00:00,R159,\N,\N,\N,\N
160,160,MONDAY,14:30:00,16:00:00,R160,\N,\N,\N,\N
161,161,TUESDAY,11:00:00,12:30:00,R161,\N,\N,\N,\N
162,162,WEDNESDAY,14:00:00,15:30:00,R162,\N,\N,\N,\N
163,163,THURSDAY,11:00:00,12:30:00,R163,\N,\N,\N,\N
164,164,FRIDAY,11:00:00,12:30:00,R164,\N,\N,\N,\N
165,165,MONDAY,14:00:00,15:30:00,R165,\N,\N,\N,\N
166,166,TUESDAY,14:30:00,16:00:00,R166,\N,\N,\N,\N
167,167,WEDNESDAY,10:00:00,11:30:00,R167,\N,\N,\N,\N
168,168,THURSDAY,11:00:00,12:30:00,R168,\N,\N,\N,\N
169,169,FRIDAY,13:30:00,15:00:00,R169,\N,\N,\N,\N
170,170,MONDAY,14:30:00,16:00:00,R170,\N,\N,\N,\N
171,171,TUESDAY,11:30:00,13:00:00,R171,\N,\N,\N,\N
172,172,WEDNESDAY,14:00:00,15:30:00,R172,\N,\N,\N,\N
173,173,THURSDAY,11:00:00,12:30:00,R173,\N,\N,\N,\N
174,174,FRIDAY,12:30:00,14:00:00,R174,\N,\N,\N,\N
175,175,MONDAY,13:30:00,15:00:00,R175,\N,\N,\N,\N
176,176,TUESDAY,14:30:00,16:00:00,R176,\N,\N,\N,\N
177,177,WEDNESDAY,13:00:00,14:30:00,R177,\N,\N,\N,\N
178,178,THURSDAY,13:30:00,15:00:00,R178,\N,\N,\N,\N
179,179,FRIDAY,13:00:00,14:30:00,R179,\N,\N,\N,\N
180,180,MONDAY,10:30:00,12:00:00,R180,\N,\N,\N,\N
181,181,TUESDAY,10:30:00,12:00:00,R181,\N,\N,\N,\N
182,182,WEDNESDAY,10:00:00,11:30:00,R182,\N,\N,\N,\N
183,183,THURSDAY,11:00:00,12:30:00,R183,\N,\N,\N,\N
184,184,FRIDAY,13:30:00,15:00:00,R184,\N,\N,\N,\N
185,185,MONDAY,09:30:00,11:00:00,R185,\N,\N,\N,\N
186,186,TUESDAY,15:30:00,17:00:00,R186,\N,\N,\N,\N
187,187,WEDNESDAY,14:30:00,16:00:00,R187,\N,\N,\N,\N
188,188,THURSDAY,10:00:00,11:30:00,R188,\N,\N,\N,\N
189,189,FRIDAY,15:30:00,17:00:00,R189,\N,\N,\N,\N
190,190,MONDAY,10:00:00,11:30:00,R190,\N,\N,\N,\N
191,191,TUESDAY,09:00:00,10:30:00,R191,\N,\N,\N,\N
192,192,WEDNESDAY,11:00:00,12:30:00,R192,\N,\N,\N,\N
193,193,THURSDAY,10:30:00,12:00:00,R193,\N,\N,\N,\N
194,194,FRIDAY,10:00:00,11:30:00,R194,\N,\N,\N,\N
195,195,MONDAY,11:00:00,12:30:00,R195,\N,\N,\N,\N
196,196,TUESDAY,10:00:00,11:30:00,R196,\N,\N,\N,\N
197,197,WEDNESDAY,13:30:00,15:00:00,R197,\N,\N,\N,\N
198,198,THURSDAY,11:00:00,12:30:00,R198,\N,\N,\N,\N
199,199,FRIDAY,13:00:00,14:30:00,R199,\N,\N,\N,\N
200,200,MONDAY,10:30:00,12:00:00,R200,\N,\N,\N,\N
201,201,TUESDAY,11:30:00,13:00:00,R001,\N,\N,\N,\N
202,202,WEDNESDAY,14:30:00,16:00:00,R002,\N,\N,\N,\N
203,203,THURSDAY,11:30:00,13:00:00,R003,\N,\N,\N,\N
204,204,FRIDAY,14:00:00,15:30:00,R004,\N,\N,\N,\N
205,205,MONDAY,11:00:00,12:30:00,R005,\N,\N,\N,\N
206,206,TUESDAY,15:00:00,16:30:00,R006,\N,\N,\N,\N
207,207,WEDNESDAY,15:00:00,16:30:00,R007,\N,\N,\N,\N
208,208,THURSDAY,14:00:00,15:30:00,R008,\N,\N,\N,\N
209,209,FRIDAY,10:30:00,12:00:00,R009,\N,\N,\N,\N
210,210,MONDAY,14:00:00,15:30:00,R010,\N,\N,\N,\N
211,211,TUESDAY,14:00:00,15:30:00,R011,\N,\N,\N,\N
212,212,WEDNESDAY,11:00:00,12:30:00,R012,\N,\N,\N,\N
213,213,THURSDAY,10:00:00,11:30:00,R013,\N,\N,\N,\N
214,214,FRIDAY,10:00:00,11:30:00,R014,\N,\N,\N,\N
215,215,MONDAY,14:30:00,16:00:00,R015,\N,\N,\N,\N
216,216,TUESDAY,14:00:00,15:30:00,R016,\N,\N,\N,\N
217,217,WEDNESDAY,14:30:00,16:00:00,R017,\N,\N,\N,\N
218,218,THURSDAY,14:00:00,15:30:00,R018,\N,\N,\N,\N
219,219,FRIDAY,13:30:00,15:00:00,R019,\N,\N,\N,\N
220,220,MONDAY,10:30:00,12:00:00,R020,\N,\N,\N,\N
221,221,TUESDAY,10:00:00,11:30:00,R021,\N,\N,\N,\N
222,222,WEDNESDAY,10:30:00,12:00:00,R022,\N,\N,\N,\N
223,223,THURSDAY,13:30:00,15:00:00,R023,\N,\N,\N,\N
224,224,FRIDAY,13:30:00,15:00:00,R024,\N,\N,\N,\N
225,225,MONDAY,10:00:00,11:30:00,R025,\N,\N,\N,\N
226,226,TUESDAY,10:30:00,12:00:00,R026,\N,\N,\N,\N
227,227,WEDNESDAY,11:00:00,12:30:00,R027,\N,\N,\N,\N
228,228,THURSDAY,11:00:00,12:30:00,R028,\N,\N,\N,\N
229,229,FRIDAY,14:00:00,15:30:00,R029,\N,\N,\N,\N
230,230,MONDAY,13:00:00,14:30:00,R030,\N,\N,\N,\N
231,231,TUESDAY,11:00:00,12:30:00,R031,\N,\N,\N,\N
232,232,WEDNESDAY,14:30:00,16:00:00,R032,\N,\N,\N,\N
233,233,THURSDAY,10:30:00,12:00:00,R033,\N,\N,\N,\N
234,234,FRIDAY,11:30:00,13:00:00,R034,\N,\N,\N,\N
235,235,MONDAY,13:30:00,15:00:00,R035,\N,\N,\N,\N
236,236,TUESDAY,10:30:00,12:00:00,R036,\N,\N,\N,\N
237,237,WEDNESDAY,11:00:00,12:30:00,R037,\N,\N,\N,\N
238,238,THURSDAY,13:00:00,14:30:00,R038,\N,\N,\N,\N
239,239,FRIDAY,14:30:00,16:00:00,R039,\N,\N,\N,\N
240,240,MONDAY,10:00:00,11:30:00,R040,\N,\N,\N,\N
241,241,TUESDAY,10:30:00,12:00:00,R041,\N,\N,\N,\N
242,242,WEDNESDAY,14:00:00,15:30:00,R042,\N,\N,\N,\N
243,243,THURSDAY,09:00:00,10:30:00,R043,\N,\N,\N,\N
244,244,FRIDAY,11:30:00,13:00:00,R044,\N,\N,\N,\N
245,245,MONDAY,10:30:00,12:00:00,R045,\N,\N,\N,\N
246,246,TUESDAY,10:00:00,11:30:00,R046,\N,\N,\N,\N
247,247,WEDNESDAY,14:00:00,15:30:00,R047,\N,\N,\N,\N
248,248,THURSDAY,14:30:00,16:00:00,R048,\N,\N,\N,\N
249,249,FRIDAY,14:00:00,15:30:00,R049,\N,\N,\N,\N
250,250,MONDAY,11:30:00,13:00:00,R050,\N,\N,\N,\N
251,251,TUESDAY,13:30:00,15:00:00,R051,\N,\N,\N,\N
252,252,WEDNESDAY,10:30:00,12:00:00,R052,\N,\N,\N,\N
253,253,THURSDAY,10:00:00,11:30:00,R053,\N,\N,\N,\N
254,254,FRIDAY,13:00:00,14:30:00,R054,\N,\N,\N,\N
255,255,MONDAY,09:00:00,10:30:00,R055,\N,\N,\N,\N
256,256,TUESDAY,13:00:00,14:30:00,R056,\N,\N,\N,\N
257,257,WEDNESDAY,11:00:00,12:30:00,R057,\N,\N,\N,\N
258,258,THURSDAY,13:30:00,15:00:00,R058,\N,\N,\N,\N
259,259,FRIDAY,12:00:00,13:30:00,R059,\N,\N,\N,\N
260,260,MONDAY,14:30:00,16:00:00,R060,\N,\N,\N,\N
261,261,TUESDAY,14:30:00,16:00:00,R061,\N,\N,\N,\N
262,262,WEDNESDAY,14:30:00,16:00:00,R062,\N,\N,\N,\N
263,263,THURSDAY,11:30:00,13:00:00,R063,\N,\N,\N,\N
264,264,FRIDAY,11:00:00,12:30:00,R064,\N,\N,\N,\N
265,265,MONDAY,12:00:00,13:30:00,R065,\N,\N,\N,\N
266,266,TUESDAY,11:30:00,13:00:00,R066,\N,\N,\N,\N
267,267,WEDNESDAY,10:30:00,12:00:00,R067,\N,\N,\N,\N
268,268,THURSDAY,15:30:00,17:00:00,R068,\N,\N,\N,\N
269,269,FRIDAY,14:00:00,15:30:00,R069,\N,\N,\N,\N
270,270,MONDAY,10:30:00,12:00:00,R070,\N,\N,\N,\N
271,271,TUESDAY,13:00:00,14:30:00,R071,\N,\N,\N,\N
272,272,WEDNESDAY,10:30:00,12:00:00,R072,\N,\N,\N,\N
273,273,THURSDAY,10:30:00,12:00:00,R073,\N,\N,\N,\N
274,274,FRIDAY,15:30:00,17:00:00,R074,\N,\N,\N,\N
275,275,MONDAY,14:00:00,15:30:00,R075,\N,\N,\N,\N
276,276,TUESDAY,13:00:00,14:30:00,R076,\N,\N,\N,\N
277,277,WEDNESDAY,13:30:00,15:00:00,R077,\N,\N,\N,\N
278,278,THURSDAY,10:00:00,11:30:00,R078,\N,\N,\N,\N
279,279,FRIDAY,10:30:00,12:00:00,R079,\N,\N,\N,\N
280,280,MONDAY,13:00:00,14:30:00,R080,\N,\N,\N,\N
281,281,TUESDAY,11:30:00,13:00:00,R081,\N,\N,\N,\N
282,282,WEDNESDAY,10:30:00,12:00:00,R082,\N,\N,\N,\N
283,283,THURSDAY,11:00:00,12:30:00,R083,\N,\N,\N,\N
284,284,FRIDAY,11:00:00,12:30:00,R084,\N,\N,\N,\N
285,285,MONDAY,10:30:00,12:00:00,R085,\N,\N,\N,\N
286,286,TUESDAY,13:30:00,15:00:00,R086,\N,\N,\N,\N
287,287,WEDNESDAY,10:30:00,12:00:00,R087,\N,\N,\N,\N
288,288,THURSDAY,15:00:00,16:30:00,R088,\N,\N,\N,\N
289,289,FRIDAY,10:30:00,12:00:00,R089,\N,\N,\N,\N
290,290,MONDAY,15:30:00,17:00:00,R090,\N,\N,\N,\N
291,291,TUESDAY,10:00:00,11:30:00,R091,\N,\N,\N,\N
292,292,WEDNESDAY,11:30:00,13:00:00,R092,\N,\N,\N,\N
293,293,THURSDAY,14:00:00,15:30:00,R093,\N,\N,\N,\N
294,294,FRIDAY,15:30:00,17:00:00,R094,\N,\N,\N,\N
295,295,MONDAY,15:00:00,16:30:00,R095,\N,\N,\N,\N
296,296,TUESDAY,13:30:00,15:00:00,R096,\N,\N,\N,\N
297,297,WEDNESDAY,13:00:00,14:30:00,R097,\N,\N,\N,\N
298,298,THURSDAY,11:00:00,12:30:00,R098,\N,\N,\N,\N
299,299,FRIDAY,11:30:00,13:00:00,R099,\N,\N,\N,\N
300,300,MONDAY,13:00:00,14:30:00,R100,\N,\N,\N,\N
301,301,TUESDAY,10:30:00,12:00:00,R101,\N,\N,\N,\N
302,302,WEDNESDAY,11:00:00,12:30:00,R102,\N,\N,\N,\N
303,303,THURSDAY,13:30:00,15:00:00,R103,\N,\N,\N,\N
304,304,FRIDAY,11:00:00,12:30:00,R104,\N,\N,\N,\N
305,305,MONDAY,12:30:00,14:00:00,R105,\N,\N,\N,\N
306,306,TUESDAY,13:30:00,15:00:00,R106,\N,\N,\N,\N
307,307,WEDNESDAY,13:00:00,14:30:00,R107,\N,\N,\N,\N
308,308,THURSDAY,11:00:00,12:30:00,R108,\N,\N,\N,\N
309,309,FRIDAY,09:00:00,10:30:00,R109,\N,\N,\N,\N
310,310,MONDAY,13:30:00,15:00:00,R110,\N,\N,\N,\N
311,311,TUESDAY,15:00:00,16:30:00,R111,\N,\N,\N,\N
312,312,WEDNESDAY,10:00:00,11:30:00,R112,\N,\N,\N,\N
313,313,THURSDAY,11:00:00,12:30:00,R113,\N,\N,\N,\N
314,314,FRIDAY,14:00:00,15:30:00,R114,\N,\N,\N,\N
315,315,MONDAY,11:30:00,13:00:00,R115,\N,\N,\N,\N
316,316,TUESDAY,13:00:00,14:30:00,R116,\N,\N,\N,\N
317,317,WEDNESDAY,11:00:00,12:30:00,R117,\N,\N,\N,\N
318,318,THURSDAY,11:00:00,12:30:00,R118,\N,\N,\N,\N
319,319,FRIDAY,14:00:00,15:30:00,R119,\N,\N,\N,\N
320,320,MONDAY,11:00:00,12:30:00,R120,\N,\N,\N,\N
321,321,TUESDAY,10:30:00,12:00:00,R121,\N,\N,\N,\N
322,322,WEDNESDAY,14:30:00,16:00:00,R122,\N,\N,\N,\N
323,323,THURSDAY,12:00:00,13:30:00,R123,\N,\N,\N,\N
324,324,FRIDAY,10:00:00,11:30:00,R124,\N,\N,\N,\N
325,325,MONDAY,13:00:00,14:30:00,R125,\N,\N,\N,\N
326,326,TUESDAY,14:00:00,15:30:00,R126,\N,\N,\N,\N
327,327,WEDNESDAY,12:30:00,14:00:00,R127,\N,\N,\N,\N
328,328,THURSDAY,13:30:00,15:00:00,R128,\N,\N,\N,\N
329,329,FRIDAY,09:00:00,10:30:00,R129,\N,\N,\N,\N
330,330,MONDAY,14:30:00,16:00:00,R130,\N,\N,\N,\N
331,331,TUESDAY,12:30:00,14:00:00,R131,\N,\N,\N,\N
332,332,WEDNESDAY,10:00:00,11:30:00,R132,\N,\N,\N,\N
333,333,THURSDAY,11:00:00,12:30:00,R133,\N,\N,\N,\N
334,334,FRIDAY,11:00:00,12:30:00,R134,\N,\N,\N,\N
335,335,MONDAY,10:30:00,12:00:00,R135,\N,\N,\N,\N
336,336,TUESDAY,10:00:00,11:30:00,R136,\N,\N,\N,\N
337,337,WEDNESDAY,14:30:00,16:00:00,R137,\N,\N,\N,\N
338,338,THURSDAY,11:30:00,13:00:00,R138,\N,\N,\N,\N
339,339,FRIDAY,11:30:00,13:00:00,R139,\N,\N,\N,\N
340,340,MONDAY,12:00:00,13:30:00,R140,\N,\N,\N,\N
341,341,TUESDAY,11:30:00,13:00:00,R141,\N,\N,\N,\N
342,342,WEDNESDAY,13:30:00,15:00:00,R142,\N,\N,\N,\N
343,343,THURSDAY,11:30:00,13:00:00,R143,\N,\N,\N,\N
344,344,FRIDAY,11:00:00,12:30:00,R144,\N,\N,\N,\N
345,345,MONDAY,13:00:00,14:30:00,R145,\N,\N,\N,\N
346,346,TUESDAY,14:30:00,16:00:00,R146,\N,\N,\N,\N
347,347,WEDNESDAY,11:00:00,12:30:00,R147,\N,\N,\N,\N
348,348,THURSDAY,10:30:00,12:00:00,R148,\N,\N,\N,\N
349,349,FRIDAY,11:30:00,13:00:00,R149,\N,\N,\N,\N
350,350,MONDAY,14:30:00,16:00:00,R150,\N,\N,\N,\N
351,351,TUESDAY,11:30:00,13:00:00,R151,\N,\N,\N,\N
352,352,WEDNESDAY,10:00:00,11:30:00,R152,\N,\N,\N,\N
353,353,THURSDAY,09:00:00,10:30:00,R153,\N,\N,\N,\N
354,354,FRIDAY,13:30:00,15:00:00,R154,\N,\N,\N,\N
355,355,MONDAY,11:00:00,12:30:00,R155,\N,\N,\N,\N
356,356,TUESDAY,11:00:00,12:30:00,R156,\N,\N,\N,\N
357,357,WEDNESDAY,10:00:00,11:30:00,R157,\N,\N,\N,\N
358,358,THURSDAY,13:00:00,14:30:00,R158,\N,\N,\N,\N
359,359,FRIDAY,14:30:00,16:00:00,R159,\N,\N,\N,\N
360,360,MONDAY,14:30:00,16:00:00,R160,\N,\N,\N,\N
361,361,TUESDAY,14:30:00,16:00:00,R161,\N,\N,\N,\N
362,362,WEDNESDAY,09:00:00,10:30:00,R162,\N,\N,\N,\N
363,363,THURSDAY,10:30:00,12:00:00,R163,\N,\N,\N,\N
364,364,FRIDAY,11:00:00,12:30:00,R164,\N,\N,\N,\N
